Keyword,"Min Search Volume","Max Search Volume",Competition,"Competition (indexed Value)","Top of  page bid (low range)","Top of page bid (high range)",
5 star adults only all inclusive resorts,10,100,Unknown,
5 star all inclusive hotels,10,100,Low,31,
hotel resorts in greece,10,100,Medium,39,0.15,0.56,
jaguar chauffeur,10,100,Low,12,
luxury accommodation crete,10,100,Medium,43,
luxury accommodation greece,10,100,Unknown,
luxury adventure,10,100,Low,17,0.65,1.12,
luxury adventure resorts,10,100,Unknown,
luxury adventure tours,10,100,Medium,57,
luxury adventure travel,10,100,Medium,36,
luxury adventure trips,10,100,Medium,50,
luxury adventure vacation,10,100,Medium,57,
luxury airport services,10,100,Low,0,
luxury airport transfer,10,100,Medium,37,
luxury airport transport,10,100,Low,14,
luxury bahia principe resort,10,100,Medium,44,0.42,5.02,
luxury bahia resort,10,100,Low,19,
luxury car airport transfer,10,100,Unknown,
luxury car chauffeur,10,100,Medium,36,1.00,3.36,
luxury car chauffeur service,10,100,Medium,57,
